Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,1e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,20,20,10,100
Vertical Units,V,V,A,V
Vertical Offset,0,0,0,0
Vertical Scale,20,20,5,50
Label,,,,
TIME,CH1,CH2,CH3,CH4
-8.0000e-02,-1.43359,-0.164062,-10.7764,90.0781
-7.9992e-02,-1.01562,-0.105469,-10.7813,90.2148
-7.9984e-02,-0.921875,-0.105469,-10.7793,90.3027
-7.9976e-02,-0.890625,-0.195312,-10.7227,89.1309
-7.9968e-02,-0.859375,-0.152344,-10.8838,90
-7.9960e-02,-0.367188,-0.132812,-10.7061,90.2734
-7.9952e-02,-0.355469,-0.128906,-10.793,90.1953
-7.9944e-02,-0.675781,-0.125,-10.6748,90.2734
-7.9936e-02,-0.582031,-0.144531,-10.8037,90.1562
-7.9928e-02,-0.566406,0.277344,-10.8008,90.0391
-7.9920e-02,-0.535156,-0.144531,-10.7637,90.2344
-7.9912e-02,-0.121094,-0.121094,-10.8682,90.9375
-7.9904e-02,-0.046875,-0.105469,-10.7871,90.1172
-7.9896e-02,0.078125,-0.152344,-10.8721,90.293
-7.9888e-02,0.136719,-0.121094,-10.8799,90
-7.9880e-02,0.109375,-0.183594,-10.9756,90.0391
-7.9872e-02,0.148438,-0.09375,-10.7686,90.1172
-7.9864e-02,0.210938,-0.136719,-10.7773,89.9219
-7.9856e-02,0.671875,-0.136719,-10.7764,90.9473
-7.9848e-02,0.226562,-0.117188,-10.8916,90.2734
-7.9840e-02,0.777344,-0.121094,-10.7822,91.2109
-7.9832e-02,0.8125,-0.078125,-10.877,89.2578
-7.9824e-02,0.5625,-0.117188,-10.8643,90.0781
-7.9816e-02,0.984375,-0.09375,-10.7383,90.1562
-7.9808e-02,1.01562,0.207031,-10.7725,89.9609
-7.9800e-02,1.48438,-0.464844,-10.6543,89.2969
-7.9792e-02,1.53516,-0.464844,-10.6611,89.1406
-7.9784e-02,1.57812,-0.441406,-10.8584,90.3125
-7.9776e-02,0.890625,-0.136719,-10.7197,91.2207
-7.9768e-02,1.33984,-0.121094,-10.7695,90.3125
-7.9760e-02,1.73438,-0.15625,-10.8516,89.8828
-7.9752e-02,1.38672,-0.164062,-10.7588,90.0391
-7.9744e-02,1.44531,-0.53125,-10.7617,90.3516
-7.9736e-02,1.89062,-0.09375,-10.6621,90.0391
-7.9728e-02,1.92188,-0.121094,-10.7266,91.1523
-7.9720e-02,2.01562,-0.125,-10.7305,90.0391
-7.9712e-02,2.07422,-0.144531,-10.707,90.1562
-7.9704e-02,2.13281,-0.140625,-10.5225,90.2344
-7.9696e-02,2.56641,-0.109375,-10.6328,90.3125
-7.9688e-02,2.62891,-0.515625,-10.665,89.7754
-7.9680e-02,2.74219,-0.519531,-10.7119,90
-7.9672e-02,2.43359,-0.445312,-10.8271,91.2598
-7.9664e-02,2.86328,-0.464844,-10.627,90.2734
-7.9656e-02,2.53516,-0.414062,-10.707,89.3164
-7.9648e-02,2.90625,-0.121094,-10.6309,89.3555
-7.9640e-02,3.10938,-0.128906,-10.623,90.2344
-7.9632e-02,3.10938,-0.121094,-10.6992,89.8828
-7.9624e-02,3.20312,-0.105469,-10.7949,90.3418
-7.9616e-02,3.63281,-0.121094,-10.6738,89.1797
-7.9608e-02,3.36719,-0.109375,-10.7188,90.3711
-7.9600e-02,3.77734,-0.453125,-10.7979,90.3125
-7.9592e-02,3.83984,-0.0625,-10.5957,90.1562
-7.9584e-02,3.875,0.015625,-10.5557,90.3027
-7.9576e-02,3.89453,0.289062,-10.6328,90.2734
-7.9568e-02,4.01562,-0.121094,-10.7021,90.3613
-7.9560e-02,3.67578,-0.078125,-10.6807,90.0781
-7.9552e-02,4.21484,-0.136719,-10.7764,90.1953
-7.9544e-02,4.125,-0.121094,-10.5732,90.459
-7.9536e-02,4.21484,-0.136719,-10.5742,90.3125
-7.9528e-02,4.30469,-0.160156,-10.6855,90.3027
-7.9520e-02,4.35156,-0.09375,-10.6836,90
-7.9512e-02,4.81641,0.3125,-10.5664,90.1562
-7.9504e-02,4.55859,-0.144531,-10.6826,90.2246
-7.9496e-02,5,-0.125,-10.7344,90.8594
-7.9488e-02,4.98438,-0.09375,-10.4834,90.3125
-7.9480e-02,5.10547,-0.488281,-10.5479,90.8789
-7.9472e-02,5.14062,-0.148438,-10.5322,90.1562
-7.9464e-02,5.18359,-0.527344,-10.5459,91.0449
-7.9456e-02,5.26953,-0.105469,-10.6377,90.1562
-7.9448e-02,5.70312,-0.128906,-10.6338,90.2344
-7.9440e-02,5.46484,-0.125,-10.5459,90.0391
-7.9432e-02,5.875,-0.105469,-10.5303,90.0391
-7.9424e-02,5.57812,-0.441406,-10.5068,90.0391
-7.9416e-02,5.96875,-0.136719,-10.6064,90.2344
-7.9408e-02,5.57812,-0.484375,-10.5156,90.1172
-7.9400e-02,6.46094,-0.148438,-10.4551,90.2734
-7.9392e-02,6.09375,0.25,-10.5117,89.1113
-7.9384e-02,6.14062,-0.09375,-10.6045,90.1953
-7.9376e-02,6.125,-0.105469,-10.4121,90.3125
-7.9368e-02,6.36328,-0.449219,-10.4053,90.3809
-7.9360e-02,6.80859,-0.09375,-10.3516,89.209
-7.9352e-02,6.42578,-0.136719,-10.5576,90.1562
-7.9344e-02,7.29297,-0.121094,-10.3984,91.0156
-7.9336e-02,6.92188,-0.148438,-10.4053,91.0742
-7.9328e-02,7.37109,-0.121094,-10.5039,91.0352
-7.9320e-02,7.09375,-0.195312,-10.5283,89.8437
-7.9312e-02,7.13281,-0.445312,-10.4482,89.2578
-7.9304e-02,7.56641,-0.046875,-10.4443,90.0391
-7.9296e-02,7.65625,-0.144531,-10.583,90.1953
-7.9288e-02,6.92578,-0.179688,-10.543,90.2344
-7.9280e-02,7.37891,-0.121094,-10.5273,90.2344
-7.9272e-02,7.76953,-0.121094,-10.4268,90.1953
-7.9264e-02,7.8125,-0.132812,-10.4287,90.2344
-7.9256e-02,7.41016,0.238281,-10.1514,90.1172
-7.9248e-02,7.95312,-0.109375,-10.3125,90.1172
-7.9240e-02,8.07812,-0.078125,-10.3301,90.0781
-7.9232e-02,8.07812,-0.121094,-10.3828,90
-7.9224e-02,8.10547,-0.0898438,-10.3984,89.9609
-7.9216e-02,8.58594,-0.46875,-10.2861,90.2734
-7.9208e-02,8.21094,-0.164062,-10.3154,89.6973
-7.9200e-02,8.24219,-0.125,-10.2998,90.2734
-7.9192e-02,8.30859,-0.105469,-10.3115,90.1562
-7.9184e-02,8.39453,-0.140625,-10.4072,89.8437
-7.9176e-02,8.37109,-0.140625,-10.1748,90.9668
-7.9168e-02,8.51953,-0.546875,-10.2773,90.3125
-7.9160e-02,8.85938,-0.140625,-10.2861,90.1172
-7.9152e-02,8.58203,-0.078125,-10.2861,90.1172
-7.9144e-02,8.64062,-0.15625,-10.2617,90.918
-7.9136e-02,9.09766,-0.136719,-10.2422,90.1172
-7.9128e-02,9.55078,-0.539062,-10.2686,89.1309
-7.9120e-02,9.125,-0.160156,-10.2705,91.1133
-7.9112e-02,9.20703,-0.417969,-10.2188,90.2734
-7.9104e-02,9.30078,-0.132812,-10.3379,90
-7.9096e-02,9.36328,-0.148438,-10.2148,90.2344
-7.9088e-02,9.78516,-0.527344,-10.1104,89.1016
-7.9080e-02,9.82422,-0.433594,-10.1084,89.1406
-7.9072e-02,9.48438,-0.472656,-10.1172,90.2344
-7.9064e-02,10.0156,-0.03125,-10.3096,90.0391
-7.9056e-02,9.95312,-0.464844,-10.1865,90.3125
-7.9048e-02,10.0938,-0.464844,-10.1035,90.3613
-7.9040e-02,10.1094,-0.128906,-10.1992,90.0391
-7.9032e-02,10.1445,-0.136719,-10.0723,91.0937
-7.9024e-02,10.1719,-0.125,-10.0547,90.2441
-7.9016e-02,10.2695,-0.132812,-10.0801,90.1953
-7.9008e-02,10.3828,-0.109375,-10.0645,90.1172
-7.9000e-02,10.7969,-0.121094,-10.0264,89.9609
-7.8992e-02,11.1484,-0.121094,-10.0469,90.2734
-7.8984e-02,10.8008,-0.417969,-10.1357,91.0156
-7.8976e-02,10.6094,-0.105469,-10.0264,89.1016
-7.8968e-02,10.5781,-0.128906,-10.0264,90.1172
-7.8960e-02,11.1211,-0.53125,-9.92578,90.8691
-7.8952e-02,11.125,-0.109375,-9.91797,90.3223
-7.8944e-02,11.1953,-0.121094,-10.1025,89.8437
-7.8936e-02,11.2109,-0.503906,-9.91895,90
-7.8928e-02,11.207,-0.125,-10,91.3281
-7.8920e-02,11.3281,-0.480469,-10.0547,89.1992
-7.8912e-02,11.8359,-0.121094,-9.96973,90.2734
-7.8904e-02,11.8477,-0.121094,-10.0908,89.8828
-7.8896e-02,11.4961,-0.382812,-10.1221,89.248
-7.8888e-02,11.9531,-0.121094,-9.95605,90
-7.8880e-02,12.0469,-0.460938,-9.96191,90.3711
-7.8872e-02,12.0938,-0.078125,-9.8418,90.0781
-7.8864e-02,11.7227,-0.128906,-10.0371,90.3516
-7.8856e-02,12.1523,-0.121094,-9.81836,90.1562
-7.8848e-02,12.2578,-0.121094,-9.90332,90.1172
-7.8840e-02,11.8984,-0.121094,-9.93066,90.2344
-7.8832e-02,12.3516,-0.136719,-9.80957,91.0254
-7.8824e-02,12.7656,-0.136719,-9.92285,89.0723
-7.8816e-02,12.3945,-0.121094,-9.88184,90.3125
-7.8808e-02,12.8672,-0.046875,-9.87402,90.1953
-7.8800e-02,12.9531,-0.109375,-9.87109,90.2734
-7.8792e-02,13.0312,-0.0625,-9.88477,90.0391
-7.8784e-02,13.1328,-0.125,-9.77637,90.3516
-7.8776e-02,13.5391,-0.121094,-9.78027,90.8008
-7.8768e-02,13.625,-0.5,-9.71875,90.2344
-7.8760e-02,13.2383,0,-9.74707,89.8828
-7.8752e-02,13.6992,-0.125,-9.6543,90.0391
-7.8744e-02,13.4023,-0.140625,-9.66602,89.1211
-7.8736e-02,13.9219,-0.121094,-9.61133,90.2344
-7.8728e-02,13.9688,-0.136719,-9.69238,90.1953
-7.8720e-02,14.0312,-0.136719,-9.70898,90.2734
-7.8712e-02,13.9531,-0.132812,-9.7002,90.0781
-7.8704e-02,13.7266,0,-9.87598,90.2734
-7.8696e-02,14.1367,-0.117188,-9.76465,90.1953
